english	translation	category	sub_category	source
A mage of incredible power.		examine	npc	Dark Squall
The spirit of a long-dead druid of Guthix.		examine	npc	Druid spirit
You won't like him when he's angry.		examine	npc	Sithaph
What's this for?		examine	npc	Strange tube
An ancient human.		examine	npc	V
Lucien must be incredibly powerful if he can bind such demons to his will.		examine	npc	Tormented Demon
He walks with a slight limp.		examine	npc	Lucien
For debug.		examine	npc	Debug Man
A powerful warrior, guarding the Warriors' Guild.		examine	npc	Ghommal
The small but tough doorman of the Warriors' Guild.		examine	npc	Laidee Gnonock
Appears slightly drunk.		examine	npc	Zembo
A three-headed gigantic hound. Guardialn of the River of Souls.		examine	npc	Cerberus
I have the sudden urge to bank my items.		examine	npc	Durial321
He doesn't look too friendly.		examine	npc	Magic Mark
She doesn't look too friendly.		examine	npc	Ranging Ro
A seriously scary spider.		examine	npc	Araxxor
A seriously dead spider.		examine	npc	Araxxor
Egg!		examine	npc	Egg
A colourful spider.		examine	npc	Mirrorback Araxyte
Egg.		examine	npc	Egg
Egg?		examine	npc	Egg
A member of the Sisterhood experimenting with araxyte venom.		examine	npc	Weave
Really hope she doesn't crawl into my mouth while I sleep.		examine	npc	Arancini
Looks a tad disheveled		examine	npc	Man
Looks like a respectable gentleman		examine	npc	Nid
Looks like a respectable gentleman.		examine	npc	Nid
A powerful frost nagua.		examine	npc	Amoxliatl
Looks like it could shatter at any moment.		examine	npc	Unstable ice
The heir to the throne of Varlamore, going undercover.		examine	npc	Prince Itzla Arkan
A citizen of Varlamore, hoping to join the Twilight Emissaries.		examine	npc	Felius
A new member of the Twilight Emissaries.		examine	npc	Sergius
A highly experienced member of the Twilight Emissaries.		examine	npc	Emissary Ascended
A leading member of the Twilight Emissaries.		examine	npc	Forebearer Janus
Leader of the Twilight Emissaries.		examine	npc	Augur Metzli
Ranul reborn... apparently.		examine	npc	Furia Tullus
Ralos reborn... apparently.		examine	npc	Ennius Tullus
A newly-initiated member of the Twilight Emissaries.		examine	npc	Emissary Acolyte
Brittle, cold and shimmering with frost magic.		examine	npc	Frost Nagua
An experienced member of the Twilight Emissaries.		examine	npc	Emissary Chosen
Keeping everyone fed.		examine	npc	Emissary Chef
Catching fish for the Emissaries.		examine	npc	Emissary Fisher
One of the cultist's goats. Not to be confused with a cultist goat.		examine	npc	Goat
Looking after the goats.		examine	npc	Emissary Herder
A fierce fighter of the Twilight Emissaries.		examine	npc	Emissary Brawler
A fierce mage of the Twilight Emissaries.		examine	npc	Emissary Conjurer
A fierce member of the Twilight Emissaries.		examine	npc	Emissary
A big block of ice.		examine	npc	Ice block
Servant of the sacred flame. Capable of herblore.		examine	npc	Brew'ma
An expert in tomatoes, growing pumpkins for a change.		examine	npc	Marika
A local lover of food.		examine	npc	Emelio
The editor for the Colosseum.		examine	npc	Lelia
She knows a thing or two about being a farmer.		examine	npc	Alba
He's here to try Emelio's kebabs.		examine	npc	Lucas
She's here to try Emelio's kebabs.		examine	npc	Renata
Tells you what's happening in the Colosseum.		examine	npc	Colosseum Announcer
Now that's a big one!		examine	npc	Dire Wolf Alpha
The finest actor you've never heard of.		examine	npc	Patzi
A helpful sort of person.		examine	npc	Adala
A thief, not a murderer.		examine	npc	Adala
The host with the most.		examine	npc	Constantinius
Enjoying an early retirement.		examine	npc	Cozyac
Are those business sandals?		examine	npc	Xocotla
They could use a dunk in the fountain.		examine	npc	Pavo
Is that a union flyer in his pocket?		examine	npc	Head Butler
He should investigate some competence.		examine	npc	Stradius
She's the brains... and the brawn.		examine	npc	Hutza
Responsible for keeping the actors well dressed.		examine	npc	Costumer
The understudy!		examine	npc	Naiatli
In a supporting role.		examine	npc	Clodius
Inconvenient, occasionally.		examine	npc	Wandering Guard
What a handsome fella.		examine	npc	Smart-looking dog
They're a butler. They buttle.		examine	npc	Butler
Passage by invitation only.		examine	npc	Villa Guard
He's having a little lie down.		examine	npc	Man
Keeping things clean.		examine	npc	Cleaner
A dwarven mystic.		examine	npc	Seer
Looks after the grapes.		examine	npc	Vineyard worker
Makes sure the grapes get to where they need to be going.		examine	npc	Vineyard foreman
He looks awfully out of place!		examine	npc	Well-dressed man
He's passionate about leafy greens.		examine	npc	Cabbage Farmer
Why does Nick have to be such a...		examine	npc	Nasty Nick
She can sell you a thing or two.		examine	npc	Shopkeeper
A purveyor of the finest fruit and veg.		examine	npc	Faustus
Her gem knowledge is deeper than the mines they come from.		examine	npc	Toci
The head sommelier for the Moonrise Brewery and Winery.		examine	npc	Antonius
He's in charge here.		examine	npc	Supervisor Lalo
Looking after the plants.		examine	npc	Meztlan
A skilled alchemist.		examine	npc	Clanila
I prefer linguine.		examine	npc	Tzatelli
Keeping an eye on things.		examine	npc	Juatil
Her goods might come in handy if you're in need of protection.		examine	npc	Ichta
A local trader of mining supplies.		examine	npc	Necto
A defender of Mistrock.		examine	npc	Guard
A resident of Mistrock.		examine	npc	Citizen
One of Mistrock's youngest residents.		examine	npc	Child
He's in charge of Mistrock.		examine	npc	Overseer Khougo
The most refined animal in all of Varlamore.		examine	npc	Capybara
So small it could fit in your pocket!		examine	npc	Techichi
Apparently they specialise in herding alpacas.		examine	npc	Chiribaya
He's busy investigating a cabbage crime scene.		examine	npc	Locke McScruff
He's examining some suspicious muddy footprints.		examine	npc	Woofson
He's down on his luck and wandering aimlessly...		examine	npc	Scorpion
A spiky fellow.		examine	npc	Porcupine
A seller of high quality plate armour.		examine	npc	Salius
As the name suggests, they like collecting salvage.		examine	npc	Salvager
A strange man in a moon helmet.		examine	npc	Chosen Aluinus
Leader of the salvagers.		examine	npc	Izel
Enjoys termites.		examine	npc	Worm Tongue
He seems lost in thought...		examine	npc	Construction Worker
She's been on more than a few voyages.		examine	npc	Antonia
She's coordinating the expedition.		examine	npc	Taala
Guarding against hunger.		examine	npc	Chef
Keeping order in the camp.		examine	npc	Guard
A grumpy-looking nelta in service to Ralos.		examine	npc	Manauia
It's like it's part of the mountain itself.		examine	npc	The Hueycoatl
It's shielding itself.		examine	npc	The Hueycoatl
It doesn't seem very happy.		examine	npc	The Hueycoatl
I'd best avoid that.		examine	npc	Hueycoatl tail
The sharp plating has been broken off.		examine	npc	Hueycoatl tail (broken)
There's a monster in this mountain...		examine	npc	Hueycoatl body
A pile of rock and broken scales.		examine	npc	Rubble
A local seller of various goods.		examine	npc	Shopkeeper
A lone wanderer.		examine	npc	Pilgrim
An expert on all things brewing.		examine	npc	Lucrezia
A giant squirrel with a skeletal aesthetic.		examine	npc	Bone Squirrel
Looks very polite.		examine	npc	Huberte
A tiny frost nagua.		examine	npc	Moxi
A naughty sea bird.		examine	npc	Gull
MeoooOoOoOooOoOooo.		examine	npc	Ghost Cat
All dressed up for Halloween!		examine	npc	Stray dog
A rocky horror.		examine	npc	Golem guard
This dung beetle has mistaken you for its staple diet.		examine	npc	Small scarab
Looks kind of obsessive...		examine	npc	Weaponsmaster
Looks kind of shifty...		examine	npc	Jonny the Beard
What use is being mysterious and powerful if this is where you end up?		examine	npc	The Sage
They can help you travel to hard to reach places...		examine	npc	League Navigator
Wields the primal force of ice. Kingly and formidable.		examine	npc	Eldric the Ice King
She lies defeated, drained and silent... but still faintly alive.		examine	npc	Branda the Fire Queen
He lies defeated, drained and silent... but still faintly alive.		examine	npc	Eldric the Ice King
An ice elemental.		examine	npc	Ice elemental
Burning fiercely.		examine	npc	Fire
Razor sharp.		examine	npc	Icicles
A fiery throne, fit for only the strongest demons.		examine	npc	Yama's throne
A large herding dog from a far off place.		examine	npc	Sadie
A regal little fellow.		examine	npc	Sir Burrus
A sweet little dog with a great hairdo!		examine	npc	Archibald
Charlie's best friend!		examine	npc	Duke
Would you believe it, that dog was a cat all along!		examine	npc	Kimba
A demon of quite obviously fathomable power. The vicious grin rarely leaves his face.		examine	npc	Yama
Remarkably friendly, for a zombie.		examine	npc	Zombie pirate
An explosive demonic spell churns inside it. It looks like it's about to burst!		examine	npc	Void Flare
Yama's personal mail-imp.		examine	npc	Imp
An Ox headed creature that speaks for Yama.		examine	npc	Voice of Yama
Sold his soul to Yama.		examine	npc	Disciple of Yama
A calm looking soldier.		examine	npc	Soldier
So stoic you could swear he doesn't move unless prompted.		examine	npc	Sergeant
Looks a little older than most imps.		examine	npc	Imp
A wizened old imp.		examine	npc	Jim
Small, but somehow still looks down on me.		examine	npc	Yami
And they just keep coming and they just keep coming...		examine	npc	Imp
A dwarven seer with a bit of an imp problem.		examine	npc	Vorbio
Likes spending time in the pub.		examine	npc	Marcus
No longer in a spot of bother.		examine	npc	Antos
A local mother.		examine	npc	Aemilia
A local father.		examine	npc	Francis
He looks a bit worse for wear.		examine	npc	Injured boy
He looks a little better now.		examine	npc	Shas
She's in charge of the guards here.		examine	npc	Captain Ariadna
He's not looking so great.		examine	npc	Hugh
He's looking a bit better now.		examine	npc	Hugh
He looks a bit lonely.		examine	npc	Faaid
A retired mage who now runs the local mill.		examine	npc	Ecatl
Doesn't seem friendly.		examine	npc	Guard dog
Seems to be alert.		examine	npc	Dog
Seems to have calmed down.		examine	npc	Dog
Seems to be alert and full of energy.		examine	npc	Gus
A leading member of the Twilight Emissaries, now with a sack over his head.		examine	npc	Forebearer Janus
A dead member of the Twilight Emissaries.		examine	npc	Forebearer Janus
Not the kind of person you want to get on the wrong side of.		examine	npc	Emissary Enforcer
He's not looking so good.		examine	npc	Prince Itzla Arkan
A senior Knight of Varlamore.		examine	npc	Captain Vibia
The dead leader of the Twilight Emissaries.		examine	npc	Augur Metzli
Not actually Ranul reborn after all.		examine	npc	Furia Tullus
Well, well, well, if it isn't the consequences of her own actions.		examine	npc	Furia Tullus
Convinced of his own transcendence.		examine	npc	Ennius Tullus
Highlord of the Dwarves of Cam Torum.		examine	npc	Highlord Katlo
Burning with the heat of the sun.		examine	npc	Tornado
An icy tornado.		examine	npc	Tornado
A fierce ranger of the Twilight Emissaries.		examine	npc	Chimalli
The pet snake of the Sun Queen, curled up tight.		examine	npc	Ikniu
Here to defend the crypt.		examine	npc	Tonali Archer
A fierce archer of the Twilight Emissaries.		examine	npc	Emissary Archer
Clearly he wasn't actually Ralos reborn.		examine	npc	Ennius Tullus
A portable teleporter.		examine	npc	Tonali Teleporter
Strong, sharp and dangerous.		examine	npc	Earthen Nagua
They've been injured.		examine	npc	Tonali Warrior
Maybe not Ranul reborn.		examine	npc	Furia Tullus
He looks a little out of place here.		examine	npc	Alan
An egg. Sat on a wall.		examine	npc	Humphrey Dumphrey
He's had a great fall.		examine	npc	Humphrey Dumphrey
It's had a great fall.		examine	npc	Chicken Egg
A street smart bartender.		examine	npc	King
He's here to drink tea and do something... and he's all out of tea.		examine	npc	Nezketi
He looks like a man who can get things done.		examine	npc	Kauayotl
A man on a mission.		examine	npc	Acatzin
The local blacksmith. He seems quite busy.		examine	npc	Blacksmith
That's a big one!		examine	npc	Large chicken
Not fully grown, but still rather dangerous.		examine	npc	Red dragon
An egg.		examine	npc	Humphrey Dumphrey
Doom on a small scale.		examine	npc	Dom
Old as...		examine	npc	Ancient Custodian
Knows their way around the mountains.		examine	npc	Mountain Guide
Where did he learn mixology?!		examine	npc	Capybara
He seems to be keeping a watchful eye on something happening in the distance...		examine	npc	Techichi
He seems to be keeping a watchful eye on something...		examine	npc	Techichi
Inspecting the local produce.		examine	npc	Chiribaya
A good boy with big loving eyes... Wait, where did he get that broccoli from?!		examine	npc	Ziggy
Weeeeeeeee!		examine	npc	Flying squirrel
Its intricate patterns make it the most beautiful cat in all of Varlamore.		examine	npc	Ocelot
Kitttyyyyyyyyyyyuhh!!!		examine	npc	Ocelot kitten
They enjoy the slower lifestyle.		examine	npc	Pygmy hippo
This little piggy is angry!		examine	npc	Pygmy hippo calf
Bobbing along.		examine	npc	Pygmy hippo
She's following the fruit-hat trend.		examine	npc	Pygmy hippo calf
What a nose!		examine	npc	Tapir
Their little stripes act as camouflage!		examine	npc	Tapir calf
Clearing any ants in its path.		examine	npc	Anteater
Monkey-ing around.		examine	npc	Squirrel monkey
A large and colourful bird.		examine	npc	Macaw
Minding their own business...		examine	npc	Caique
Lost in thought.		examine	npc	Ranulph
An inquisitive child.		examine	npc	Isadora
The spirit of a buffalo.		examine	npc	Buffalo spirit
The spirit of a jaguar.		examine	npc	Jaguar spirit
The spirit of an eagle.		examine	npc	Eagle spirit
The spirit of a snake.		examine	npc	Snake spirit
The spirit of a scorpion.		examine	npc	Scorpion spirit
The joyful spawn of an ent.		examine	npc	Entling
He can sell you a thing or two.		examine	npc	Shopkeeper
She owns a lot of axes.		examine	npc	Lunami
Has a faint smell of chemicals about her.		examine	npc	Chouani
They can look after my money.		examine	npc	Banker
An expert amongst the foliage.		examine	npc	Diana
Blimey! A ghost!		examine	npc	Ghost
Likes to collect shiny stuff.		examine	npc	Jasper
He's on an adventure!		examine	npc	Bernard
A solemn looking man.		examine	npc	Adrinus
He's here to guard the border.		examine	npc	Border Guard
She's here to guard the border.		examine	npc	Border Guard
Not fully grown.		examine	npc	Juvenile custodian stalker
Grown just enough.		examine	npc	Mature custodian stalker
Overgrown.		examine	npc	Elder custodian stalker
Barely grown at all.		examine	npc	Baby custodian stalker
What is that?		examine	npc	Strange creature
A demonic digger.		examine	npc	Doom of Mokhaiotl
It's protecting itself with a demonic shield!		examine	npc	Doom of Mokhaiotl (Shielded)
You can run, but it can dig.		examine	npc	Doom of Mokhaiotl (Burrowed)
Larva of pure evil.		examine	npc	Demonic larva
Its being manipulated by some magical force.		examine	npc	Volatile earth
Earth magic manipulated into a protective barrier.		examine	npc	Earthen shield
Don't mention his situation.		examine	npc	Felix
Love leads her to places less explored.		examine	npc	Xilo
Familiar with a more pared-back living arrangement.		examine	npc	Kiyahtla
A local seller of farming supplies.		examine	npc	Ameyalli
His goods might help you if you fancy a day of fishing.		examine	npc	Sulisal
A colector of dyes.		examine	npc	Xochitl
She clearly hasn't used any fire spells around here.		examine	npc	Teicuh
Likes a good bow and arrow.		examine	npc	Arcuani
The shiniest crustacean this side of the shoreline.		examine	npc	Gemstone Crab
The sparkling shell of a giant crab.		examine	npc	Gemstone Crab Shell
I wonder what his siblings are called...		examine	npc	Ru Merald
This is a chest.		examine	npc	Bryophyta (Chest)
He's harvesting the ripe corn.		examine	npc	Harvester
Helps other guards keep the peace... kind of.		examine	npc	Wizguard
She's around at the right time, and the right place.		examine	npc	Nevet
I've spotted a Rae!		examine	npc	Spotted Rae
This guy looks to know his way around the oceans.		examine	npc	Duck
The most toxic gecko I've ever seen.		examine	npc	Gecko
This one's quite hairy.		examine	npc	Grub
It is indeed a very spooky chair.		examine	npc	Spooky chair
The leader of the Barracudas.		examine	npc	Mako
The second-fastest sailor on the seas.		examine	npc	Mora
A scheming little snot.		examine	npc	Blenny
He's due a promotion any day now.		examine	npc	Cabin Boy Percy
A kind-hearted captain.		examine	npc	Tetra
A member of Tetra's crew.		examine	npc	Griems
A curious engineer.		examine	npc	Ling
A skilled shipwright.		examine	npc	Barb
She has an artist's eye, and a shipwright's skills.		examine	npc	Belle
He knows his way around a kitchen.		examine	npc	Ide
A tortugan elder who specialises in crafting.		examine	npc	Elder Coco
A tortugan elder who specialises in hunting.		examine	npc	Elder Strom
A tortugan elder who specialises in fishing.		examine	npc	Elder Krill
A tortugan elder who specialises in smithing.		examine	npc	Elder Blunn
A tortugan juvenile who's learning the ways of herblore.		examine	npc	Mag
A tortugan elder who specialises in farming.		examine	npc	Elder Reggle
A tortugan elder who specialises in fletching.		examine	npc	Elder Torgan
A tortugan elder who specialises in woodcutting.		examine	npc	Elder Katt
A tortugan who's great with money.		examine	npc	Banker
A tortugan juvenile who's learning the ways of fishing.		examine	npc	Leff
A tortugan juvenile who's learning the ways of hunting.		examine	npc	Dalna
A tortugan juvenile who's learning the ways of crafting.		examine	npc	Finn
Why so crabby?		examine	npc	Hermit crab
Smells fishy.		examine	npc	Suspicious shell
A vicious predatory bird-like monster.		examine	npc	Gryphon
A vicious predator, strong enough to hook and rip the shells off the largest tortugans.		examine	npc	Dire gryphon
A calamity to all tortugan-kind.		examine	npc	Shellbane gryphon
A tortugan elder who specialises in slayer.		examine	npc	Elder Kelmo
He smells a bit fishy.		examine	npc	Henderson
She be a pirate! Yarr!		examine	npc	One Eyed Rosalee
An experienced captain with the Customs and Excise Office.		examine	npc	Captain Dawson
A merchant sailor.		examine	npc	Fiora
As the name suggests, he likes to parley.		examine	npc	Parleying Preston
A troublesome parrot.		examine	npc	Polly
Talk to the brass hand, because the Harry ain't listening.		examine	npc	Brass Hand Harry
An adult tortugan.		examine	npc	Kebba
Arrrgggg!		examine	npc	Pirate
An unfortunate castaway.		examine	npc	Yann the unlucky
A fearsome pirate captain.		examine	npc	Cap'n Anne Boney
A real numbskull.		examine	npc	Bones
Looks like he made a boo-boo.		examine	npc	Brain
On the look out for thieves.		examine	npc	Market Guard
Keeping an eye on the prisoners.		examine	npc	Jail Guard
A renowned master of trawling. Perhaps he can share his wisdom?		examine	npc	Netmaster Kellan
An experienced cartographer.		examine	npc	Gerardus
She looks worried.		examine	npc	Madison
An angry-looking ship captain.		examine	npc	Captain Campbell
He seems to like walking around.		examine	npc	Masked Figure
He can get you a drink.		examine	npc	Bartender
Often gets wrapped up in her work.		examine	npc	Doria
In the business of keeping people warm.		examine	npc	Perdie
Can cut deals and gems in equal measure.		examine	npc	Eleanor
Knows how to polish a deal.		examine	npc	Amos
He knows how to curry favour with the local sailors.		examine	npc	Samir
He's hooked on trading.		examine	npc	Gregory
A rock-solid trader.		examine	npc	Delf
Rooting for your business.		examine	npc	Marla
Has a bit of a heavy personality.		examine	npc	Iron Bill
Ice to see you, to see you ice!		examine	npc	Frost dragon
A connoisseur of all liquid based foods.		examine	npc	Soup
Quite the scrongly little chicken.		examine	npc	Gull
She looks like she's quite familiar with the sea.		examine	npc	Rebecca
Her knowledge of the sea would be best described as very deep.		examine	npc	Victoria Kebbit-Monkfish
She looks rather unwell.		examine	npc	Anne
A friendly duck.		examine	npc	Duck
Councillor of Catherby, though no one seems to be quite sure how or why she was elected.		examine	npc	Councillor Catherine
A seasoned archaeologist in search of long lost empires.		examine	npc	Charles Charlington II
Enjoys a good bit of salvaging.		examine	npc	Will
The 'pirate' owner of the Pandemonium.		examine	npc	'Squawking' Steve Beanie
A grizzled old sailor who enjoys a good ominous tale.		examine	npc	Ribs
A veteran privateer.		examine	npc	Old Grog
An old sea dog.		examine	npc	Captain Tobias
Inspects peoples' packages.		examine	npc	Customs officer
That's a nasty injury.		examine	npc	Injured Tortugan
She seems a little better now.		examine	npc	Injured Tortugan
A one-flippered tortugan explorer.		examine	npc	Floopa
Sailing a boat.		examine	npc	Sailor
A tortugan elder who specialises in herblore.		examine	npc	Elder Raley
A tortugan elder responsible for the eggs on the Little Pearl.		examine	npc	Elder Hubber
As the name suggests, they manage the reception desk.		examine	npc	Receptionist
A senior individual in the Red Reef Trading Company.		examine	npc	Theodore Paxton
A book once described him as a philanthropic genius. The book was an autobiography.		examine	npc	Spencer Brentwood
Don't ask her how she got the black eye.		examine	npc	Black Eye Bethel
He makes sure things keep working around here.		examine	npc	Chief Engineer Greyson
She looks serious.		examine	npc	Captain Maclean
A worker for the Red Reef Trading Company.		examine	npc	Worker
A sailor for the Red Reef Trading Company.		examine	npc	Sailor
He's in control of the whole mining camp.		examine	npc	Captain Siad
When you look into this little fish's eyes, democracy suddenly makes total sense.		examine	npc	Mayor of Catherby
A tortugan juvenile who's learning how to look after coral.		examine	npc	Chet
A tortugan juvenile who's learning the ways of farming.		examine	npc	Guppa
An adult tortugan doing some farming. They might be able to look after your crops for you.		examine	npc	Argo
A drunken sailor and a member of the Barracudas.		examine	npc	Rum-dashed Ralph
An Barracuda ogre... captain? sailor?		examine	npc	Gurtob
A member of the Barracudas and assistant to Gurtob.		examine	npc	Ros
An elven captain and a member of the Barracudas.		examine	npc	Gwyna
Wow, this rat learned to sail!		examine	npc	Rat
Better not get too close!		examine	npc	Resonance crystal
It's covered in crystal shards		examine	npc	Crystallised helm
A large boisterous bird. A delicacy for ogres.		examine	npc	Jubbly bird
A strange glow is emanating from under the surface.		examine	npc	Mysterious glow
On a voyage to the corner of the globe.		examine	npc	Ocean Man
Great for flying a kite or a sailboat.		examine	npc	Strong winds
A pearl-making machine.		examine	npc	Giant clam
Snacking on something.		examine	npc	Giant clam
It's created a pearl!		examine	npc	Giant clam
A messenger with a bottle!		examine	npc	Clue turtle
I wonder what's inside?		examine	npc	Lost wooden crate
He could use some help!		examine	npc	Castaway
No longer adrift, but still damp.		examine	npc	Castaway
She could use some help!		examine	npc	Castaway
A buddy in need of help!		examine	npc	Castaway
Your new best friend.		examine	npc	Castaway
A friendly floaty duck. Chase for current current data.		examine	npc	Current duck
A friendly floaty duck. Collect for current current data.		examine	npc	Current duck
A true intellectual amongst her peers, which isn't saying much.		examine	npc	Meaty Aura Logist
A mermaid guide, willing to help you research the depths of the sea.		examine	npc	Victoria Kebbit-Monkfish
This looks tasty.		examine	npc	Banana
Why not eat it and see what happens?		examine	npc	Mystery fruit
Likes drink... hates people.		examine	npc	Drink troll
Yep, it's revived alright.		examine	npc	A corpse
It's blue daga dee daga noth.		examine	npc	Blue dagannoth
I can already feel my head hurting.		examine	npc	Daddy's special water
Keeping cool heads by hitting them with rocks.		examine	npc	The rocks
What chucks up, didn't stay down.		examine	npc	Chuck up
Mad, and its tortally your fault.		examine	npc	Angry tortugan
Likes drink... hates people stepping on him.		examine	npc	Dinky the drink troll
Good job your boat is secured with nails and not nuts and bolts.		examine	npc	Squirrel friend
Here to help with washing the decks.		examine	npc	Racoon buddy
Exploding with excitement to be here.		examine	npc	Chinchompa chum
The drink troll society is much more complicated than anticipated.		examine	npc	Drink troll queen
The drink troll society might feel simpler now.		examine	npc	Drink troll queen
A tiny captain brought here by his own dreams.		examine	npc	Sailing cat
An unwavering shark.		examine	npc	Punching bag
A predator of the sea.		examine	npc	Bull shark
It met a superior predator of the sea.		examine	npc	Bull shark
Incredibly strange looking. Still very dangerous.		examine	npc	Hammerhead shark
Incredibly strange looking. No longer so dangerous.		examine	npc	Hammerhead shark
A practitioner of tiger style.		examine	npc	Tiger shark
A former practitioner of tiger style.		examine	npc	Tiger shark
Jaws with such strength, they can rip apart metal cages.		examine	npc	Great white shark
Someone didn't need a bigger boat.		examine	npc	Great white shark
Currently swimming in the ocean.		examine	npc	Narwhal
Currently floating in the ocean.		examine	npc	Narwhal
A real killer of a whale (though arguably, not a whale at all).		examine	npc	Orca
Won't be killing much now.		examine	npc	Orca
With a small size comes a greater quantity, so watch out.		examine	npc	Pygmy kraken
With a small size comes a greater quantity, so watch out for more living ones.		examine	npc	Pygmy kraken
An invertebrate with a bit of backbone.		examine	npc	Spined kraken
An invertebrate with a bit of backbone, though that didn't save it.		examine	npc	Spined kraken
Good luck finding a krack in this armour!		examine	npc	Armoured kraken
Seems like you found the krack!		examine	npc	Armoured kraken
Well, that's just terrifying.		examine	npc	Vampyre kraken
Well, that was just terrifying.		examine	npc	Vampyre kraken
Can't fly, despite its best efforts.		examine	npc	Eagle ray
Couldn't fly, and now never will.		examine	npc	Eagle ray
Disappointingly free of pretty patterns.		examine	npc	Butterfly ray
Disappointingly free of pretty patterns. Also free of lifesigns.		examine	npc	Butterfly ray
Has the potential to sting anyone, regardless of if they're called Ray.		examine	npc	Stingray
Won't be doing much stinging now.		examine	npc	Stingray
Might be feeling a little flat.		examine	npc	Manta ray
Might be feeling even more flat.		examine	npc	Manta ray
A large and powerful bird of prey circling the oceans.		examine	npc	Osprey
A large and dead bird of prey floating around the oceans.		examine	npc	Osprey
Albatross!		examine	npc	Albatross
Get your albatross!		examine	npc	Albatross
A magnificent sea bird, effortlessly soaring in the sky.		examine	npc	Frigatebird
A magnificent and dead sea bird, effortlessly floating on the water.		examine	npc	Frigatebird
Down for what?		examine	npc	Tern
Oh how the tables...		examine	npc	Tern
It thinks it can take down an entire boat. Maybe it can?		examine	npc	Mogre
It couldn't.		examine	npc	Mogre
A bottlenose dolphin.		examine	npc	Dolphin
Cute, but dead.		examine	npc	Dolphin
A small bottlenose dolphin calf.		examine	npc	Dolphin calf
Don't call her Reggie.		examine	npc	Crew Registrar
Will sail for food.		examine	npc	Jobless Jim
An eager adventurer with a talent for problem-solving.		examine	npc	Adventurer Ada
Any sudden noise puts the boom-boom into his heart.		examine	npc	Jittery Jim
Should have been called Roger.		examine	npc	Jolly Jim
An experienced sailor with a background in windsurfing.		examine	npc	Sailor Jakob
A fan of ruff seas.		examine	npc	Oarswoman Olga
A weak force of nature trying to prove they are strong.		examine	npc	Bosun Zarah
Could spot a snowy knight in a blizzard at 1000 paces.		examine	npc	Spotter Virginia
Just happy to be here.		examine	npc	Ex-Captain Siad
Dead men can trim sails.		examine	npc	Cabin Boy Jenkins
The dry white toast of crewmates.		examine	npc	No Crewmember
A locked crew slot.		examine	npc	Locked
Maybe after a hard day of work, they go home for a drink of port.		examine	npc	Port Wizard Perrie
He looks after the Colosseum minotaurs.		examine	npc	Petrus
He's the man with the power to name things.		examine	npc	Sleve McDichael
A banknote exchange merchant who has taken on the role of king.		examine	npc	Biles
Looks like it's plotting...		examine	npc	Raccoon
Makes sure the workers are well looked after.		examine	npc	Brikka
He seems to be in charge here.		examine	npc	Korgan
He has an odd look in his eye.		examine	npc	Durrik
A majestic bird of prey.		examine	npc	Bronze eagle
A large lizard.		examine	npc	Iguana
A colour-coordinated lizard.		examine	npc	Chameleon
The only creature with a mouth big enough to fit a cannonball into.		examine	npc	Giant toad
Fruity and bat-shaped. A winning combination!		examine	npc	Fruit bat
Plodding along.		examine	npc	Tortoise
Wax on, wax off, grab a butterfly and eat it... Wait, what?		examine	npc	Praying mantis
Eurgh! A nasty bug.		examine	npc	Cockroach
I shall call him Anthony.		examine	npc	Giant ant
That stinger has to hurt...		examine	npc	Giant wasp
You wouldn't steal a ship.		examine	npc	Pirate
What is he looking for?		examine	npc	Pirate
Does what he wants, 'cause a pirate lives free.		examine	npc	Pirate
No fan of land lubbers.		examine	npc	Pirate
A salt-seasoned sailor.		examine	npc	Captain Reuben
A captain with a grudge against the crown.		examine	npc	Captain Cotus
A sun-weathered pirate.		examine	npc	Pirate
Definitely would steal a ship.		examine	npc	Pirate
A captain of the coldest seas.		examine	npc	Captain Darvald
Warriors first, sailors second.		examine	npc	Fremennik warrior
She's sailing through her workload.		examine	npc	Port master
Finds his work amusang.		examine	npc	Port master
Parroting all the other port masters.		examine	npc	Port master
Seems to have to fill out a lot more forms that the other port masters.		examine	npc	Port master
Personally inspects all cargo for weapons and armor.		examine	npc	Port master
He's working ardy is.		examine	npc	Port master
Brimming with passion for her job.		examine	npc	Port master
Often found securing ropes to prevent trip khazards.		examine	npc	Port master
Corsair? No, she was just lying in the sand.		examine	npc	Port master
Makes sure his port is the least ruined part of Unkah.		examine	npc	Port master
We have a pun on the name Piscarillius, but we don't want to tell you.		examine	npc	Port master
Fortis port would be easier to run.		examine	npc	Port master
Dokkar is his Fremennik name.		examine	npc	Port master
Where the land ends, her job begins.		examine	npc	Port master
She's got a hosidius amount of work to do.		examine	npc	Port master
He's got that cairn-do attitude.		examine	npc	Port master
He's setting a high standard.		examine	npc	Port master
Ready to shell out some coin in exchange for services.		examine	npc	Port master
His peers consider him an al-daring port master.		examine	npc	Port master
Half of the time, she thinks of herself as the starboard master, for balance.		examine	npc	Port master
She's managed to rob the job of all its challenges.		examine	npc	Port master
People say she's as solid as a red rock.		examine	npc	Port master
He's harmless enough... mostly.		examine	npc	Port master
She does this, she does that...		examine	npc	Port master
He's a tyrasure to work with.		examine	npc	Port master
His work is always finished on time.		examine	npc	Port master
He's so efficient.		examine	npc	Port master
She's not one to slack off.		examine	npc	Port master
She's crystal clear on what she's doing.		examine	npc	Port master
A reel professional.		examine	npc	Port master
He's over the moon about his job.		examine	npc	Port master
